2026-05-03,2026-05-03 17:03:28,Data Classification_052318_final draft.docx,.docx,ollama/gemma4:latest,4784,1190,5974,0.38,197.08,197.46
2026-05-03,2026-05-03 17:03:28,IMG_5412.jpg,.jpg,ollama/gemma4:latest,0,0,0,0,0,0
2026-05-03,2026-05-03 17:03:28,IMG_5413.jpg,.jpg,ollama/gemma4:latest,0,0,0,0,0,0
2026-05-03,2026-05-03 17:03:29,IMG_5411.jpg,.jpg,ollama/gemma4:latest,0,0,0,0,0,0
2026-05-03,2026-05-03 17:03:29,IMG_5414.jpg,.jpg,ollama/gemma4:latest,0,0,0,0,0,0
2026-05-04,2026-05-04 10:49:01,Responsible_Enterprise_AI_1756817352.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 10:49:24,AI anf fundamental rights.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 10:49:37,Attribution_in_AI_and_Software_Law_From_Tools_to_Agents_1756713137.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 10:49:58,A_Different_Approach_to_AI_Safety_1756708391.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 10:50:06,The_Colorado_AI_Act_1756341597.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 10:50:23,ai-governance-international-evaluation-index.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 10:50:32,Guidance on the use of AI for ISO Committees March 2025-FA.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 10:50:52,AI_Alignment_vs_AI_Ethical_Treatment_Ten_Challenges_1755341620.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 10:51:06,RBI_FREE_AI_Committee_Report_1755241254.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 10:52:17,Doing_AI_Differently_The_Alan_Turing_Institute_1755240674.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 10:52:35,EU_AI_Act_Handbook_1755240535.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 10:52:48,AI_Governance_EU_Act_Best_Practices_TOP_1754867605.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 10:53:26,Handbook_of_the_Law_Ethics_and_Policy_of_AI_1754622339.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 10:53:35,AI Safety and Security.pdf,.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
2026-05-04,2026-05-04 10:53:58,"AI and Education in China Imagining the Future, Excavating the Past (Jeremy Knox).pdf",.pdf,openai/llama-cpp-secondary,0,0,0,0,0,0
